lval,op,rval,Estimate,Std. Err,z-value,p-value
Intention,~,Infrastructure,-0.06402784803772309,0.29000142408988544,-0.22078459869099465,0.8252601561416337
Intention,~,Awareness,-0.010954032463115819,0.34934533216528885,-0.031355886151934284,0.9749857215876172
INF1,~,Infrastructure,1.0,-,-,-
INF2,~,Infrastructure,-0.21470230700660625,0.9586522496907146,-0.22396265911403293,0.8227863589053561
AWA1,~,Awareness,1.0,-,-,-
AWA2,~,Awareness,0.03586767279624838,1.1254989351515523,0.03186824231991548,0.9745771247270734
INT1,~,Intention,1.0,-,-,-
INT2,~,Intention,0.02536532400135195,1.1372316920442531,0.022304446999479685,0.9822051015732287
Awareness,~~,Awareness,0.12878605093055617,4.040762785066071,0.03187171773767425,0.9745743531527968
Awareness,~~,Infrastructure,-0.006659006720732358,0.009504806624806714,-0.700593603098914,0.4835566716713253
Infrastructure,~~,Infrastructure,0.10204069936384941,0.45486933014837766,0.22432969778450346,0.8225007695099056
Intention,~~,Intention,0.0837883915060229,3.7690839758607453,0.022230439025138972,0.98226413675553
AWA1,~~,AWA1,0.11690584862799715,4.040742349173204,0.028931775036804535,0.9769190034085833
AWA2,~~,AWA2,0.1627498185449366,0.012627767055163228,12.888249982842641,0.0
INF1,~~,INF1,0.04513937069851788,0.45477266108725883,0.09925700148839328,0.9209342176097548
INF2,~~,INF2,0.24800593067080426,0.02733110761007032,9.074126603283021,0.0
INT1,~~,INT1,3.067705902682709e-18,3.7690788202879535,8.139139691558708e-19,1.0
INT2,~~,INT2,0.1505207476852703,0.01091619068186836,13.788761304938946,0.0
